District,Block,Significant Place,Latitude,Longitude,Description,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Gaya,Bodhgaya,Mahabodhi Temple,24.6961,84.9913,A UNESCO World Heritage site where Siddhartha Gautama attained Enlightenment. The complex includes the Bodhi Tree and the grand 5th-century brick temple. It is the most sacred destination for Buddhists and a global tourism hub.,https://upload.wikimedia.org/wikipedia/commons/d/dc/Mahabodhi_Temple_South_Wall_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Votive_Stupas_-_Mahabodhi_Temple_Complex_-_Bodh_Gaya_%2813%29.jpg,,,
Gopalganj,Thawe,Thawe Durga Temple,26.4292,84.3944,"A revered Shakti Peeth located in a dense forest pocket. Famous for the legend of 'Thawe Wali Maa,' it draws massive crowds during Navratri. The forest provides a unique micro-climate in the northwestern plains of Bihar.",https://upload.wikimedia.org/wikipedia/commons/f/fd/Thawe_Durga_Mandir_%28Out%29.JPG,https://upload.wikimedia.org/wikipedia/commons/f/fd/Thawe_Durga_Mandir_%28Out%29.JPG,https://images.bhaskarassets.com/webp/thumb/512x0/web2images/521/2025/09/22/app_175846167168cffee77e110_1002033231.jpg,,
Jamui,Gidhaur,Minto Tower,24.8579,86.3004,"Built in 1909 to commemorate Lord Minto’s visit, this clock tower is a symbol of the Gidhaur Raj. It stands in a rugged, hilly terrain on the edge of the plateau, serving as a primary marker for south Bihar's highland weather.",https://upload.wikimedia.org/wikipedia/commons/e/e0/Minto_Tower%28Gidhaur%29.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Minto_tower%2CGidhaur.jpg,,,
Jehanabad,Makhdumpur,Barabar Caves,25.0055659,85.06333164,"The oldest surviving rock-cut caves in India (3rd Century BCE). Known for their mirror-like interior polish and acoustic resonance, they are Mauryan architectural marvels carved out of massive granite monoliths.",https://upload.wikimedia.org/wikipedia/commons/1/1e/Ashoka_Barabar_Caves_Edicts_for_Ajivikas.png,https://upload.wikimedia.org/wikipedia/commons/9/93/Sudama_and_Lomas_Rishi_Caves_at_Barabar%2C_Bihar%2C_1870.jpg,,,
Kaimur,Ramgarh,Mundeshwari Devi Temple,24.9834,83.5647,"Located atop Piwara hill, this is the oldest functional Hindu temple in India (c. 635 CE). It offers commanding views of the Kaimur plateau and is a vital altitude-based observation point for southern weather patterns.",https://upload.wikimedia.org/wikipedia/commons/b/ba/Information_board_at_Mundeshwari_devi_temple.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Maa_Mundeshwari_Devi.jpg,,,
Katihar,Amdabad,Gogabil Lake,25.37546144,87.69286256,Bihar's first Community Reserve and a critical oxbow lake wetland. It is a sanctuary for hundreds of bird species and a key indicator for the hydrological health of the Mahananda-Ganga river system in eastern Bihar.,https://vikalpsangam.org/wp-content/uploads/migrate/Environment%20Ecology%202/mohd_imran_khan_gogabeel_katihar_bihar_lake_conservation.jpg,https://www.insightsonindia.com/wp-content/uploads/2025/11/Bihars-Gogabeel-Lake-768x303.jpg,"https://static.wixstatic.com/media/4a23a3_a8e9c1a61ff444979ced4453c349d8de~mv2.jpeg/v1/fill/w_980,h_518,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/4a23a3_a8e9c1a61ff444979ced4453c349d8de~mv2.jpeg",,
Khagaria,Chautham,Katyayani Asthan Temple,25.58386665,86.59680246,A major Shakti Peeth located at a complex river confluence. It is a sentinel for monitoring the high humidity and multi-river flood patterns typical of Khagaria's unique river-heavy geography.,https://chardham.ticketstotrip.com/wp-content/uploads/2025/09/katyayani-shakti-peeth-uma-shakti-peeth-vrindavan-_1664125160-1024x512.jpg,https://chardham.ticketstotrip.com/wp-content/uploads/2025/09/%E0%A4%B6%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%BF-%E0%A4%AA%E0%A5%80%E0%A4%A0-%E0%A4%AE%E0%A4%BE%E0%A4%82-%E0%A4%95%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A4%A8%E0%A5%80-%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%BF%E0%A4%B0%E0%A4%96%E0%A4%97%E0%A4%A1%E0%A4%BC%E0%A4%BF%E0%A4%AF%E0%A4%BE-%E0%A4%AC%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%B0-%F0%9F%99%8F%F0%9F%8F%BBbabuvlogs-khagaria-bihartourism-biharihai-j-3-1.jpg,https://chardham.ticketstotrip.com/wp-content/uploads/2025/09/%E0%A4%B6%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%BF-%E0%A4%AA%E0%A5%80%E0%A4%A0-%E0%A4%AE%E0%A4%BE%E0%A4%82-%E0%A4%95%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A4%A8%E0%A5%80-%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%BF%E0%A4%B0%E0%A4%96%E0%A4%97%E0%A4%A1%E0%A4%BC%E0%A4%BF%E0%A4%AF%E0%A4%BE-%E0%A4%AC%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%B0-%F0%9F%99%8F%F0%9F%8F%BBbabuvlogs-khagaria-bihartourism-biharihai-j-2-1024x768.jpg,,
Kishanganj,Pothia,Belwa Tea Gardens,26.19625707,87.98127403,"The only tea-producing region in Bihar, benefiting from high rainfall and acidic soil. These lush gardens mark the wettest and most humid part of the state, serving as an early indicator for the arrival of the southwest monsoon.",https://upload.wikimedia.org/wikipedia/commons/e/e1/A_farmer%27s_vacation_%28IA_farmersvacation00waririch%29.pdf,https://upload.wikimedia.org/wikipedia/commons/b/b9/Records_of_the_Botanical_Survey_of_India_%28IA_recordsofbot219021904bota%29.pdf,,,
Lakhisarai,Lakhisarai,Ashok Dham Temple,25.19331929,86.07401467,"Famous for a massive Shivalinga discovered in 1977, this grand complex is a premier pilgrimage center. It anchors the cultural identity of the Kiul river basin and the historical Pala empire region.",https://upload.wikimedia.org/wikipedia/commons/e/e5/Ashok_Dham_Temple_Lakshisarai.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Ashok_dham_temple_front_img.jpg,,,
Madhepura,Singheshwar,Singheshwar Asthan,25.98355541,86.79923148,A legendary Shiva temple associated with King Dasharatha's yajna. It is the focal point of the massive Shravani Mela and a primary landmark for monitoring the weather in the Kosi river belt.,https://images.bhaskarassets.com/webp/thumb/512x0/web2images/521/2022/03/01/1_1646102198.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Singheshwar_Sthan_Madhepura_-_panoramio.jpg,,,
Madhubani,Rajnagar,Navlakha Palace Ruins,26.40469862,86.1717365,"Exquisite ruins of 20th-century Mithila architecture featuring the ornate Kali Temple. Historically a hub for Mithila art and Darbhanga Raj history, it is a key landmark for the Indo-Nepal border plains.",https://upload.wikimedia.org/wikipedia/commons/b/b6/Durga_Temple_at_Rajnagar.jpg,https://seawatersports.com/images/places/navlakha-palace-rajnagar.jpg,,,
Munger,Munger Sadar,Munger Fort,25.37887196,86.46996953,"Perched on the Ganga, this fort houses the Bihar School of Yoga and ancient step-wells. Historically the capital of Mir Qasim, it is a critical station for monitoring the Ganga's flow and humidity at the rocky river bend.",https://upload.wikimedia.org/wikipedia/commons/e/ec/Munger_Fort%2C_Bihar.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/The_East_End_of_the_Fort_of_Mongheer_view_2.jpg,,,
Muzaffarpur,Saraiya,Kolhua Ashokan Pillar,26.01424857,85.10898924,"A perfectly preserved Ashokan pillar topped by a lion. Historically part of the Lichchavi Republic, it is a vital topographical marker for the fertile, lichi-growing Gandak basin plains.",https://upload.wikimedia.org/wikipedia/commons/e/eb/Ashokan_Pillar_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1c/The_Ashokan_Pillar%2C_Vaishali_-_panoramio.jpg,,,
Nalanda,Rajgir,Vishwa Shanti Stupa,25.00447457,85.44451428,"A white marble pagoda atop Ratnagiri Hill symbolizing global harmony. Accessible by ropeway, it is a high-altitude observation point for wind currents and regional visibility in the Rajgir hills.",https://upload.wikimedia.org/wikipedia/commons/1/12/Vishwa_Shanti_Stupa.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/Vishwa_Shanti_Stupa_in_Maharashtra.jpg,,,
Nawada,Govindpur,Kakolat Waterfall,24.69960699,85.62856216,"The 'Niagara of Bihar,' a 160-foot natural cascade with ice-cold water. It is a major eco-tourism site and a critical point for monitoring flash floods and hill-stream surges in the southern hills.",https://upload.wikimedia.org/wikipedia/commons/7/74/Kakolat_waterfall%2C_Bihar%2C_India.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Waterfall_Kakolat.jpg,,,
Patna,Patna Sadar,Golghar,25.6203,85.1394,"A beehive-shaped colonial granary built after the 1770 famine. Standing near the Ganga, it is Patna’s most iconic landmark and a key site for monitoring urban heat island effects and riverside weather.",https://upload.wikimedia.org/wikipedia/commons/3/30/Golghar%2C_Patna.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/%E0%A4%97%E0%A4%BE%E0%A5%87%E0%A4%B2%E0%A4%98%E0%A4%B0_12.jpg,,,
Purnia,Banmankhi,Prahlad Stambh (Dharhara),25.90414611,87.18224772,"A significant mythological site linked to Lord Narasimha. Historically a regional administrative center, it marks the jute-growing belt and the high-rainfall transition zone of northeast Bihar.",https://scontent-bom5-1.xx.fbcdn.net/v/t1.6435-9/95492850_2535975136720240_1843098465328955392_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=06a7ca&_nc_ohc=rNODrfVeWFAQ7kNvwH7i62P&_nc_oc=AdrF5EJw3XZcF9TkHUhsLnBGaHh7r3z5iuutLmYZEXbi2_VMmXmav9wZTRTptUqYyCs&_nc_zt=23&_nc_ht=scontent-bom5-1.xx&_nc_gid=VkCbRQRqJO1vm-2lcngOYw&_nc_ss=8&oh=00_AfxoEhwrGEkMMLrOxtj0mYkHZJmDSum0UYXHHND75sc3RQ&oe=69E33BB0,https://i0.wp.com/angdesh.com/wp-content/uploads/2022/07/narsingh-awtar-mandir-banmankhi-purnea-5-1.jpg?w=565&ssl=1,https://i0.wp.com/angdesh.com/wp-content/uploads/2022/07/narsingh-awtar-mandir-banmankhi-purnea-9.jpg?resize=768%2C512&ssl=1,,
Rohtas,Sasaram,Tomb of Sher Shah Suri,24.9485,84.0152,"A UNESCO World Heritage octagonal tomb floating in an artificial lake. Often called the 'Second Taj Mahal,' it represents the architectural peak of the Indo-Islamic style and anchors south Bihar’s plains.",https://upload.wikimedia.org/wikipedia/commons/8/85/Sher_Shah_Suri_Tomb.jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/Tomb_of_sher_shah_suri_from_outer_windo.jpg,,,
Saharsa,Mahishi,Ugratara Sthan,25.84837889,86.47303568,A sacred Shakti Peeth and the site of the debate between Adi Shankaracharya and Mandana Misra. It is a sentinel landmark for monitoring the Kosi embankments and river safety.,https://cdnbbsr.s3waas.gov.in/s39a49a25d845a483fae4be7e341368e36/uploads/2021/08/2021080724.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Ugratara_Shakti_Peeth_%28Temple%29_in_Mahishi%2C_Near_Saharsa_Town.jpg/960px-Ugratara_Shakti_Peeth_%28Temple%29_in_Mahishi%2C_Near_Saharsa_Town.jpg?_=20170912041412,https://hindimeyatra.com/images/uploads/2022/06/saharsa-me-ghumne-ki-jagah.jpg,,
Samastipur,Pusa,RPCAU Pusa,25.9812,85.6715,"A premier agricultural university and the birthplace of the Green Revolution in India. It houses the most important meteorological observatory in Bihar, providing foundational data for the entire state.",https://rpcau.ac.in/wp-content/uploads/2023/08/University-Headquarter-Building.jpg,https://rpcau.ac.in/wp-content/uploads/2026/03/Imperial-Agriculture-Research-Institute-Pusa.png,https://rpcau.ac.in/wp-content/uploads/2026/03/Scientists.png,,
Saran,Sonepur,Harihar Nath Temple,25.68435788,85.18790483,"Situated at the Ganga-Gandak confluence, it is the home of Asia’s largest cattle fair. It is a primary station for monitoring river mist and wind patterns at Bihar's central river corridor.",https://upload.wikimedia.org/wikipedia/commons/7/7a/A_short_history_of_the_Marhattas_%28i.e._Mahrattas%29_-_from_the_early_times_to_the_death_of_Shivaji_%28IA_shorthistoryofma00ball%29.pdf,https://upload.wikimedia.org/wikipedia/commons/f/f5/Anecdotes_of_Indian_Life.djvu,,,
Sheikhpura,Barbigha,Vishnudham Samas,25.1765,85.7145,Features one of the world's largest Vishnu idols discovered in the 1990s. It is a key central Bihar landmark for monitoring soil moisture and the semi-arid climate of the southern plains.,https://scontent-bom2-4.xx.fbcdn.net/v/t39.30808-6/487530582_1142809274525345_4292771135036254482_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7b2446&_nc_ohc=Rl01NNoNc2AQ7kNvwHPCnA7&_nc_oc=AdoikU5AxFH699CopcH9VSMVjcyjdW7qZTcmowTM4t4PxbG6TBkOc3jnesZI5hs8XIE&_nc_zt=23&_nc_ht=scontent-bom2-4.xx&_nc_gid=lVpHmWTCR5Rehyevdo_iEQ&_nc_ss=8&oh=00_AfxK0mLR10vPah2ONUZT9JuOcBJbGjOjDX2H_Z-BGvkyXQ&oe=69C179AC,,,,
Sheohar,Tariyani,Devkuli Dham,26.51231218,85.34655848,"An ancient Shiva temple near the Bagmati embankment, believed to date to the Dwapara Yuga. It is the primary reference point for assessing flood risks in Bihar's smallest district.",https://cdn.s3waas.gov.in/s34f6ffe13a5d75b2d6a3923922b3922e5/uploads/bfi_thumb/2018041812-olw8klxyi92spkbiobdo3iz0fdcio7bl09gb4lorka.png,"https://image-worker.mindtrip.ai/image-resize/format=webp,w=960/https:/images.mindtrip.ai/attractions/e3f5/b924/33b3/5898/972c/84b7/6a2d/984a","https://mindtrip.ai/cdn-cgi/image/format=webp,w=960/https://images.mindtrip.ai/attractions/8cea/d150/3420/0f01/e08f/c587/249d/bc8e",,
Sitamarhi,Dumra,Punaura Dham,26.58654732,85.46690182,"Revered as the birthplace of Goddess Sita, featuring the Janaki Kund. It is a vital pilgrimage hub and a key point for monitoring the Indo-Nepal border weather and Lakhandei river levels.",https://upload.wikimedia.org/wikipedia/commons/7/70/Punaura_Dham.jpg,,,,
Siwan,Ziradei,Birthplace of Dr. Rajendra Prasad,26.19323726,84.25450136,"The ancestral home of India’s first President, maintained as a national monument. It is a primary socio-cultural landmark.",https://upload.wikimedia.org/wikipedia/commons/a/a2/Behar_Herald_7-07-2022_%26_15-07-2022.pdf,,,,
Supaul,Nirmali,Kosi Barrage,26.52823053,86.92670642,A massive hydrological structure with 56 gates regulating the Kosi River. It is the cornerstone of Bihar's flood forecasting system and a critical landmark for monitoring river discharge from Nepal.,https://upload.wikimedia.org/wikipedia/commons/f/ff/180%27_pic_of_Kosi_Barrage_on_the_INDO-_NEPAL_border_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Kosi_Barrage_looking_south.jpg,,,
Vaishali,Vaishali,Abhishek Pushkarni,25.99323455,85.11680246,An ancient coronation tank of the world’s first republic. It serves as a local temperature stabilizer and a marker for the humidity-rich climate of the Gandak-Ganga interfluve.,https://upload.wikimedia.org/wikipedia/commons/4/4e/Pushkarni_Hampi.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/Pushkarni_Hampi_1.jpg,,,
West Champaran,Bagaha-II,Valmiki Tiger Reserve,27.426611,83.90736989,"Bihar's only National Park, situated at the Himalayan foothills. It is a critical observation point for mountain-influenced weather systems, forest fire risks, and Gandak river discharge.",https://upload.wikimedia.org/wikipedia/commons/d/d6/Live_behind_Art.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Valmiki_tiger_reserve.jpg,,,
